31,9,"[1, 2, 4, 4]","[1, 2, 4, 4]"
34,0,"[0, 2, 3, 4]","[0, 2, 4, 4]"
34,1,"[1, 2, 4, 4]","[1, 2, 4, 4]"
34,2,"[0, 2, 3, 4]","[0, 2, 4, 4]"
34,3,"[1, 2, 4, 4]","[1, 3, 4, 4]"
34,4,"[1, 1, 3, 4]","[1, 1, 4, 4]"
34,5,"[0, 2, 4, 4]","[0, 4, 4, 4]"
34,6,"[0, 3, 4, 4]","[0, 3, 4, 4]"
34,7,"[1, 3, 4, 4]","[1, 3, 4, 4]"
34,8,"[0, 3, 4, 4]","[0, 3, 4, 4]"
34,9,"[1, 2, 3, 4]","[1, 2, 4, 4]"
35,0,"[1, 3, 4, 4]","[1, 4, 4, 4]"
35,1,"[1, 2, 4, 4]","[1, 2, 4, 4]"
35,2,"[1, 2, 4, 4]","[1, 3, 4, 4]"
35,3,"[0, 1, 2, 3]","[0, 1, 4, 4]"
35,4,"[0, 2, 3, 4]","[0, 3, 4, 4]"
35,5,"[0, 1, 3, 3]","[0, 2, 3, 4]"
35,6,"[0, 3, 4, 4]","[0, 3, 4, 4]"
35,7,"[0, 1, 2, 3]","[0, 1, 4, 4]"
35,8,"[1, 3, 4, 4]","[1, 3, 4, 4]"
35,9,"[0, 0, 3, 4]","[0, 2, 4, 4]"
26,0,"[0, 2, 4, 4]","[0, 2, 4, 4]"
26,1,"[1, 1, 2, 3]","[1, 1, 4, 4]"
26,2,"[0, 1, 3, 3]","[0, 2, 3, 4]"
26,3,"[0, 3, 3, 4]","[0, 3, 3, 4]"
26,4,"[0, 2, 4, 4]","[0, 4, 4, 4]"
26,5,"[0, 2, 3, 4]","[0, 2, 4, 4]"
26,6,"[0, 0, 2, 4]","[0, 0, 4, 4]"
26,7,"[1, 3, 4, 4]","[1, 3, 4, 4]"
26,8,"[1, 2, 3, 4]","[1, 3, 3, 4]"
26,9,"[1, 3, 4, 4]","[1, 4, 4, 4]"
28,0,"[0, 2, 3, 3]","[0, 3, 3, 4]"
