1.25,97,"([1, 0.5, 0, 0, 0], [0.17, 0.060000000000000005, 0.0, 0.0, 0.0])"
1.25,96,"([0.7, 0.6, 0, 0, 0], [0.12000000000000001, 0.060000000000000005, 0.0, 0.0, 0.0])"
1.25,98,"([0.8, 0.8, 0.1, 0, 0], [0.12, 0.1, 0.01, 0.0, 0.0])"
1.25,90,"([0.8, 0.4, 0, 0, 0], [0.15, 0.060000000000000005, 0.0, 0.0, 0.0])"
1.25,80,"([1, 0.8, 0, 0, 0], [0.17, 0.09000000000000001, 0.0, 0.0, 0.0])"
1.25,87,"([0.6, 0.5, 0, 0, 0], [0.09, 0.05, 0.0, 0.0, 0.0])"
1.25,91,"([0.8, 0.5, 0, 0, 0], [0.16, 0.060000000000000005, 0.0, 0.0, 0.0])"
1.25,88,"([1, 0.8, 0, 0, 0], [0.17, 0.13, 0.0, 0.0, 0.0])"
1.25,89,"([0.9, 0.4, 0.1, 0, 0], [0.17, 0.05, 0.01, 0.0, 0.0])"
1.25,95,"([0.7, 0.4, 0, 0, 0], [0.13, 0.04, 0.0, 0.0, 0.0])"
1.25,94,"([0.9, 0.5, 0.1, 0, 0], [0.19, 0.060000000000000005, 0.01, 0.0, 0.0])"
1.25,93,"([0.8, 0.5, 0.2, 0, 0], [0.12000000000000001, 0.05, 0.02, 0.0, 0.0])"
1.25,99,"([0.7, 0.7, 0, 0, 0], [0.12000000000000001, 0.13, 0.0, 0.0, 0.0])"
1.25,55,"([0.6, 0.6, 0, 0, 0], [0.13, 0.08, 0.0, 0.0, 0.0])"
1.25,83,"([0.8, 0.8, 0, 0, 0], [0.13, 0.11, 0.0, 0.0, 0.0])"
1.25,84,"([1, 0.5, 0, 0, 0], [0.19, 0.060000000000000005, 0.0, 0.0, 0.0])"
1.25,78,"([1, 0.8, 0.1, 0, 0], [0.19, 0.12000000000000001, 0.01, 0.0, 0.0])"
1.25,77,"([0.9, 0.5, 0, 0, 0], [0.18, 0.05, 0.0, 0.0, 0.0])"
1.25,81,"([1, 0.7, 0, 0, 0], [0.19, 0.11, 0.0, 0.0, 0.0])"
1.25,82,"([0.8, 0.5, 0, 0, 0], [0.2, 0.07, 0.0, 0.0, 0.0])"
1.25,2,"([1, 0.7, 0.2, 0, 0], [0.13, 0.12000000000000001, 0.02, 0.0, 0.0])"
1.25,24,"([0.7, 0.5, 0.1, 0, 0], [0.16, 0.05, 0.01, 0.0, 0.0])"
1.25,23,"([0.7, 0.6, 0, 0, 0], [0.16, 0.060000000000000005, 0.0, 0.0, 0.0])"
